"Suspect","Reported_Age","Day_of_Arrest","Time_of_Arrest","measured_BAC"
1,"21",2023-01-01,16.5,0.119
2,"62",2023-01-02,23.5,0.113
3,"44",2023-01-03,7,0.08
4,"19",2023-01-04,4.5,0.081
5,"46",2023-01-09,1,0.129
6,"61",2023-01-10,6,0.099
7,"54",2023-01-11,1.5,0.112
8,"27",2023-01-12,0,0.124
9,"69",2023-01-14,15.5,0.109
10,"40",2023-01-15,5,0.094
11,"50",2023-01-16,6.5,0.13
12,"56",2023-01-17,1.5,0.118
13,"67",2023-01-19,4.5,0.094
14,"63",2023-01-20,3,0.127
15,"36",2023-01-21,4.5,0.114
16,"50",2023-01-22,15.5,0.126
17,"22",2023-01-24,18,0.127
18,"21",2023-01-25,17,0.13
19,"65",2023-01-26,22,0.126
20,"41",2023-01-29,21.5,0.127
21,"41",2023-01-30,23.5,0.097
22,"45",2023-01-31,4,0.11
23,"22",2023-02-02,1,0.093
24,"NA",2023-02-05,3,0.128
25,"35",2023-02-06,22.5,0.119
26,"42",2023-02-07,1.5,0.129
27,"25",2023-02-08,23.5,0.089
28,"22",2023-02-09,23.5,0.108
29,"NA",2023-02-10,3,0.107
30,"23",2023-02-11,5.5,0.112
31,"38",2023-02-14,0.5,0.105
32,"57",2023-02-16,0,0.128
33,"20",2023-02-17,22,0.123
34,"52",2023-02-18,13.5,0.106
35,"57",2023-02-20,0,0.106
36,"49",2023-02-22,12,0.122
37,"58",2023-02-24,21,0.103
38,"19",2023-02-28,10.5,0.113
39,"62",2023-03-02,4,0.105
40,"37",2023-03-03,1,0.118
41,"64",2023-03-04,1,0.115
42,"46",2023-03-06,2.5,0.103
43,"NA",2023-03-07,1,0.099
44,"22",2023-03-08,5,0.063
45,"61",2023-03-10,8,0.12
46,"38",2023-03-13,0.5,0.105
47,"35",2023-03-14,4,0.101
48,"29",2023-03-15,22.5,0.093
49,"29",2023-03-16,2.5,0.123
50,"67",2023-03-17,4,0.117
51,"33",2023-03-18,4.5,0.123
52,"27",2023-03-19,23.5,0.129
53,"NA",2023-03-23,0,0.112
54,"59",2023-03-24,0.5,0.125
55,"46",2023-03-25,4.5,0.108
56,"37",2023-03-26,3,0.123
57,"64",2023-03-28,6,0.121
58,"45",2023-03-29,5,0.12
59,"57",2023-03-30,5.5,0.123
60,"59",2023-03-31,2.5,0.108
61,"60",2023-04-01,17,0.115
62,"64",2023-04-02,17.5,0.113
63,"52",2023-04-04,23.5,0.085
64,"23",2023-04-05,2.5,0.127
65,"44",2023-04-06,5.5,0.113
66,"38",2023-04-09,4,0.11
67,"21",2023-04-11,2,0.081
68,"44",2023-04-13,6.5,0.096
69,"67",2023-04-14,5.5,0.119
70,"56",2023-04-15,8.5,0.124
71,"46",2023-04-16,10,0.122
72,"62",2023-04-19,16.5,0.119
73,"29",2023-04-20,3,0.125
74,"38",2023-04-21,6.5,0.097
75,"20",2023-04-22,23.5,0.083
76,"28",2023-04-25,23.5,0.102
77,"47",2023-04-26,12,0.094
78,"36",2023-04-29,0.5,0.109
79,"23",2023-04-30,0.5,0.114
80,"20",2023-05-02,3.5,0.112
81,"31",2023-05-03,0,0.115
82,"57",2023-05-04,7.5,0.106
83,"46",2023-05-05,2,0.104
84,"22",2023-05-06,22,0.107
85,"27",2023-05-07,5.5,0.118
86,"40",2023-05-08,5.5,0.093
87,"23",2023-05-09,6.5,0.085
88,"48",2023-05-10,22,0.126
89,"37",2023-05-11,13.5,0.127
90,"26",2023-05-12,5.5,0.111
91,"64",2023-05-13,3.5,0.096
92,"28",2023-05-14,23.5,0.117
93,"51",2023-05-16,18.5,0.117
94,"67",2023-05-17,0.5,0.117
95,"43",2023-05-18,0.5,0.111
96,"33",2023-05-21,21.5,0.106
97,"68",2023-05-22,6.5,0.105
98,"37",2023-05-24,19.5,0.127
99,"38",2023-05-25,5,0.122
100,"26",2023-05-26,5.5,0.123
101,"36",2023-05-27,4,0.12
102,"22",2023-05-28,23.5,0.091
103,"50",2023-05-29,5.5,0.106
104,"52",2023-05-30,4,0.111
105,"67",2023-05-31,4.5,0.094
106,"33",2023-06-05,14,0.123
107,"66",2023-06-10,3.5,0.128
108,"29",2023-06-11,5,0.106
109,"NA",2023-06-14,0.5,0.129
110,"21",2023-06-15,2,0.113
111,"55",2023-06-16,5,0.098
112,"56",2023-06-17,0.5,0.109
